Elo,Team,,,,,
1757,Chiefs,,,,,
1648,Eagles,,,,,
1719,Bengals,,,,,
1685,49ers,,,,,
1692,Bills,,,,,
1628,Cowboys,,,,,
1517,Jaguars,,,,,
1469,Giants,,,,,
1535,Ravens,,,,,
1517,Chargers,,,,,
1500,Seahawks,,,,,
1509,Lions,,,,,
1553,Steelers,,,,,
1534,Packers,,,,,
1513,Patriots,,,,,
1485,Commanders,,,,,
1467,Panthers,,,,,
1496,Browns,,,,,
1510,Saints,,,,,
1422,Rams,,,,,
1444,Titans,,,,,
1465,Raiders,,,,,
1396,Jets,,,,,
1371,Colts,,,,,
1374,Broncos,,,,,
1382,Cardinals,,,,,
1321,Bears,,,,,
1441,Falcons,,,,,
1312,Texans,,,,,
1477,Buccaneers,,,,,
1529,Vikings,,,,,
1493,Dolphins,,,,,
