,Team,Elo
0,Chiefs,1746.9518544716807
1,Lions,1519.0481455283193
2,Browns,1539.9550670083577
3,Bengals,1675.0449329916423
4,Ravens,1546.1604898085736
5,Texans,1300.8395101914264
6,Vikings,1513.4452300385087
7,Buccaneers,1492.5547699614913
8,Falcons,1469.7633398265211
9,Panthers,1438.2366601734789
10,Commanders,1495.9456526673314
11,Cardinals,1371.0543473326686
12,Colts,1357.4431827926364
13,Jaguars,1530.5568172073636
14,Steelers,1533.891012030232
15,49ers,1704.108987969768
16,Saints,1515.466368827634
17,Titans,1438.533631172366
18,Broncos,1369.0484214106407
19,Raiders,1469.9515785893593
20,Patriots,1502.366558105158
21,Eagles,1658.633441894842
22,Seahawks,1465.9224071299159
23,Rams,1456.0775928700841
24,Chargers,1505.3829191951443
25,Dolphins,1504.6170808048557
26,Bears,1308.8197554740284
27,Packers,1546.1802445259716
28,Giants,1449.1955496277315
29,Cowboys,1647.8044503722685
30,Jets,1425.021803240998
31,Bills,1662.978196759002
